ad_id,suburb,district,bedrooms,bathrooms,land_perches,floor_sqft,price_lkr,price_log
5840925,Kelaniya,Gampaha,3,2,13.33,1036,15200000,16.53680605
5863386,Pannipitiya,Colombo,5,3,12.08,2300,33000000,17.31201815
5863372,Battaramulla,Colombo,4,4,7,2700,49500000,17.71748325
5865999,Hokandara,Colombo,3,3,40,4500,140000000,18.75715299
5864496,Colombo 15,Colombo,5,2,12,2361,38000000,17.45309674
5857441,Matara,Matara,8,5,18,4000,28000000,17.1477151
5866319,Ragama,Gampaha,4,3,9.7,2200,48500000,17.69707438
5864864,Athurugiriya,Colombo,5,2,10.25,3000,30000000,17.21670797
5863343,Pepiliyana,Colombo,5,4,1,2765,57000000,17.85856184
5863094,Colombo 7,Colombo,3,4,7.4,4500,260000000,19.37619219
5862708,Ahangama,Galle,4,2,148,2600,44000000,17.59970021
5862477,Pepiliyana,Colombo,3,3,7,3000,49000000,17.70733088
5831590,Weliweriya,Gampaha,3,2,20,2000,22000000,16.90655306
5857357,Kalubowila,Colombo,6,5,16.27,3000,180000000,19.00846741
5784899,Kesbewa,Colombo,4,4,10,3500,55000000,17.82284376
5811006,Maharagama,Colombo,5,4,22,3000,160000000,18.89068438
5784330,Aniwatte,Other,5,4,35.6,2600,70000000,18.06400581
5871522,Kandy,Kandy,7,1,52,4000,48500000,17.69707438
5871670,Ethul Kotte,Colombo,4,3,10,3000,59000000,17.89304802
5860550,Thalawathugoda,Colombo,4,7,20,3000,200000000,19.11382793
5871667,Ethul Kotte,Colombo,4,4,10,3600,126000000,18.65179247
5871659,Kandy,Kandy,8,6,10,3650,32000000,17.28124649
5726513,Kandy,Kandy,5,5,9,3150,31190000,17.25560812
5722071,Thalawathugoda,Colombo,4,4,7,3150,31190000,17.25560812
5759577,Pita Kotte,Colombo,5,3,58.3,3000,275000000,19.43228166
5805402,Malabe,Colombo,4,3,8.58,2335,42500000,17.56501466
5724199,Miriswatta,Gampaha,3,2,7,2000,23630000,16.97802769
5727153,Piliyandala,Colombo,5,5,7,3150,31190000,17.25560812
5725014,Kiribathgoda,Gampaha,3,2,7,2000,23630000,16.97802769
5724998,Wattala,Gampaha,3,2,7,2000,23630000,16.97802769
5724994,Kandy,Kandy,2,2,7,1000,14630000,16.49858484
5724459,Nuwara Eliya,Nuwara Eliya,3,2,7,2000,23630000,16.97802769
5724709,Kiribathgoda,Gampaha,4,4,7,2400,24760000,17.02474005
5724621,Thalawathugoda,Colombo,4,2,7,2000,19800000,16.80119255
5724569,Galle,Galle,2,2,7,1000,14630000,16.49858484
5723622,Negombo,Gampaha,4,2,7,2000,19800000,16.80119255
5723617,Pepiliyana,Colombo,5,5,10,3500,34650000,17.36080831
5722201,Rajagiriya,Colombo,3,2,7,2000,23630000,16.97802769
5718510,Ratnapura,Ratnapura,4,4,10,3150,31190000,17.25560812
5718518,Battaramulla,Colombo,5,5,30,4500,44550000,17.61212273
5721258,Kottawa,Colombo,5,5,12,3500,34650000,17.36080831
5720591,Pannipitiya,Colombo,3,2,7,2000,23630000,16.97802769
5720568,Dehiwala,Colombo,4,2,7,200,19800000,16.80119255
340086,Galle,Galle,3,3,184,2000,160000000,18.89068438
340109,Beliatta,Hambantota,6,2,6,4000,79000000,18.18495842
5718334,Battaramulla,Colombo,3,2,7,2000,23630000,16.97802769
5711344,Galle,Galle,7,10,80,2000,110000000,18.51599093
5715378,Maharagama,Colombo,4,4,7,3400,34650000,17.36080831
5715409,Maharagama,Colombo,3,2,7,2000,23630000,16.97802769
5871658,Pannipitiya,Colombo,4,2,200,2500,65000000,17.98989784
5871650,Malabe,Colombo,5,3,7,3000,67500000,18.02763817
5871640,Thalawathugoda,Colombo,4,3,7,3000,69000000,18.04961708
5871638,Malabe,Colombo,4,4,6,3800,42000000,17.5531802
5871636,Raddolugama,Colombo,4,3,13.8,3000,43500000,17.58827152
5871628,Kirindiwela,Colombo,3,1,12.5,1250,13500000,16.41820032
499359,Nugegoda,Colombo,4,4,18.5,2500,74000000,18.11957566
521786,Udahamulla,Other,4,2,35,3500,85000000,18.25816183
5763405,Ethul Kotte,Colombo,4,3,10,3500,60000000,17.90985514
5765132,Nawala,Colombo,6,6,84,3000,403200000,19.81494328
5764872,Kandana,Gampaha,6,4,18,4183,75000000,18.13299868
5764893,Colombo 5,Colombo,6,2,30,3000,250000000,19.33697148
5764984,Rajagiriya,Colombo,4,4,28,2600,150000000,18.82614586
5770365,Rathmalana,Colombo,5,4,28,4000,100000000,18.42068075
5771038,Rajagiriya,Colombo,2,2,7.3,1500,45000000,17.62217307
5771067,Boralesgamuwa,Colombo,4,3,20.5,4000,90000000,18.31532024
5771072,Colombo 7,Colombo,7,7,18,3000,450000000,19.92475814
5871619,Thalawathugoda,Colombo,4,4,10,3000,47500000,17.67624029
5777190,Colombo 5,Colombo,3,2,12,2000,160000000,18.89068438
5712332,Mount Lavinia,Colombo,4,2,7,2000,23630000,16.97802769
5726614,Kuruwita,Ratnapura,4,2,40,2800,22000000,16.90655306
5721688,Mount Lavinia,Colombo,3,2,7,2000,23630000,16.97802769
5844685,Colombo 5,Colombo,4,3,12,3000,126000000,18.65179247
5808717,Nugegoda,Colombo,4,3,8.5,2300,65000000,17.98989784
5826463,Negombo,Gampaha,3,2,12,2800,42500000,17.56501466
5718503,Ratnapura,Ratnapura,5,5,30,4500,44550000,17.61212273
5718507,Ratnapura,Ratnapura,3,2,7,2000,23630000,16.97802769
5718578,Ratnapura,Ratnapura,6,6,40,2000,54450000,17.81279343
5718617,Dehiwala,Colombo,3,2,7,2000,23630000,16.97802769
5718763,Maharagama,Colombo,4,2,7,2000,19800000,16.80119255
5720275,Nawala,Colombo,4,4,7,3400,34650000,17.36080831
5720277,Nawala,Colombo,3,2,7,2000,23630000,16.97802769
5720836,Nugegoda,Colombo,5,5,12,3150,34650000,17.36080831
5721262,Homagama,Colombo,3,2,7,2000,23630000,16.97802769
5721263,Homagama,Colombo,5,5,12,3500,34650000,17.36080831
5721765,Godagama,Colombo,4,4,7,3150,31190000,17.25560812
5722110,Kandy,Kandy,5,5,12,3500,34650000,17.36080831
5754433,Homagama,Colombo,4,3,14.9,2276,44500000,17.61099977
5726512,Kohuwala,Colombo,5,5,9,3500,34650000,17.36080831
5726518,Kohuwala,Colombo,3,2,7,2000,23630000,16.97802769
5712776,Negombo,Gampaha,3,2,7,2000,23630000,16.97802769
5715579,Galle,Galle,3,2,10,2000,23630000,16.97802769
5718128,Gampaha,Gampaha,3,2,10,2000,23630000,16.97802769
5718361,Gampaha,Gampaha,4,3,7,2000,19800000,16.80119255
5871611,Thalawathugoda,Colombo,4,4,11,3345,58000000,17.87595359
5871606,Thalawathugoda,Colombo,4,4,7,3500,55000000,17.82284376
5871596,Thalawathugoda,Colombo,4,4,10,3500,65000000,17.98989784
5871592,Thalawathugoda,Colombo,4,4,10,3800,69000000,18.04961708
5871584,Thalawathugoda,Colombo,4,3,1,3226,84000000,18.24632737
5726622,Kuruwita,Ratnapura,4,2,20,1500,6000000,15.60727019
5726642,Kuruwita,Ratnapura,4,2,107,2000,18000000,16.70588237
5794861,Thalahena,Colombo,5,3,10,2900,58000000,17.87595359
5815258,Pita Kotte,Colombo,4,3,12,2900,82000000,18.22222982
5828175,Nugegoda,Colombo,4,3,7,2460,62500000,17.95067713
5849710,Piliyandala,Colombo,3,2,8.5,1400,29500000,17.19990086
5871572,Thalawathugoda,Colombo,5,3,15.5,3800,75000000,18.13299868
5859658,Mattegoda,Colombo,4,3,8.3,2200,29500000,17.19990086
5871570,Thalawathugoda,Colombo,4,4,9.8,4500,87000000,18.28141869
5871567,Thalawathugoda,Colombo,4,3,10,3700,95000000,18.36938746
5871564,thalawathugoda,Colombo,8,5,13.2,3000,145000000,18.79224431
5865747,colombo 7,Colombo,3,4,7.4,4500,235000000,19.27509608
5871561,Battaramulla,Colombo,5,4,37,3000,400000000,19.80697511
5708679,Nugegoda,Colombo,6,6,18,3000,225000000,19.23161096
5871557,Boralesgamuwa,Colombo,4,3,20,4000,105000000,18.46947092
5787939,Nugegoda,Colombo,4,3,16.4,3000,100000000,18.42068075
5870296,Rajagiriya,Colombo,4,4,1,4280,86000000,18.26985787
5854372,Ethul Kotte,Colombo,4,3,17.5,3000,69000000,18.04961708
5869412,Kapuwatta,Other,4,4,18.6,2600,80000000,18.19753721
5833136,Nugegoda,Colombo,7,3,18,3000,112000000,18.53400944
5798117,Wattala,Gampaha,4,6,10,2500,50000000,17.72753358
5838930,Malabe,Colombo,3,3,11.3,4100,62000000,17.94264496
5817386,Thalawathugoda,Colombo,5,5,45,3000,150000000,18.82614586
5622089,Rajagiriya,Colombo,6,4,15.21,4000,175000000,18.98029654
5500797,Kosgoda,Other,4,4,31,4000,52000000,17.7667543
5712812,Negombo,Gampaha,3,2,7,2000,23630000,16.97802769
5715395,Maharagama,Colombo,4,3,7,2400,24760000,17.02474005
5724681,Kadawatha,Gampaha,5,5,10,3500,34650000,17.36080831
5861645,Colombo 7,Colombo,3,3,7.4,2600,260000000,19.37619219
5488984,Nugegoda,Colombo,6,7,14.8,3000,149000000,18.81945687
5869702,Malabe,Colombo,4,3,6,3000,55000000,17.82284376
5852385,Malabe,Colombo,4,4,6,3005,59000000,17.89304802
5860071,Malabe,Colombo,4,4,6,3000,53000000,17.78580249
5871553,Boralesgamuwa,Colombo,7,4,12.54,4250,69000000,18.04961708
5863608,Panagoda,Other,3,2,28,2600,13500000,16.41820032
5871552,Boralesgamuwa,Colombo,2,2,9.6,1800,36000000,17.39902952
5871551,Pita Kotte,Colombo,4,6,30,3000,150000000,18.82614586
5795750,Nawala,Colombo,4,3,35,4200,225000000,19.23161096
5871550,Boralesgamuwa,Colombo,7,6,31,3000,135000000,18.72078534
5811277,Colombo 7,Colombo,5,4,23.64,4100,496440000,20.02297319
5871549,Boralesgamuwa,Colombo,4,3,12.6,3100,55000000,17.82284376
5828104,Pita Kotte,Colombo,4,4,20,3000,215000000,19.18614859
5833186,Thalawathugoda,Colombo,4,4,6.4,3000,68500000,18.04234432
5838673,Ethul Kotte,Colombo,5,4,24,4000,67500000,18.02763817
5839106,Nugegoda,Colombo,4,3,8,2500,59000000,17.89304802
5841080,Rajagiriya,Colombo,4,3,12.5,3000,135000000,18.72078534
5871548,Boralesgamuwa,Colombo,5,5,6.75,3000,125000000,18.6438243
5843538,Ethul Kotte,Colombo,4,3,8,2800,47500000,17.67624029
5871546,Nawala,Colombo,6,6,20,4500,175000000,18.98029654
5843734,Colombo 5,Colombo,4,3,9,2750,110000000,18.51599093
5845604,Matara,Matara,5,3,27.3,4500,60000000,17.90985514
5871544,Boralesgamuwa,Colombo,5,5,14,3000,149000000,18.81945687
5851715,Boralesgamuwa,Colombo,6,3,15,2800,42500000,17.56501466
5860067,Colombo 5,Colombo,5,4,10,2100,85000000,18.25816183
5866761,Pelawatte,Other,4,3,73,2600,250000000,19.33697148
5871541,Delkanda,Colombo,4,4,10.5,3200,55000000,17.82284376
5870735,Battaramulla,Colombo,6,7,19,3000,450000000,19.92475814
5828194,Colombo 5,Colombo,6,3,8.5,2500,115000000,18.5604427
5871537,Nugegoda,Colombo,4,5,21,3700,115000000,18.5604427
5762950,Wattala,Gampaha,4,3,126,4000,50000000,17.72753358
5770698,Matara,Matara,5,2,100,2136,110000000,18.51599093
5871535,Nawala,Colombo,3,3,11,3000,250000000,19.33697148
5778094,Wattala,Gampaha,4,4,7,1905,42000000,17.5531802
5871532,Heiyantuduwa,Other,3,1,13.3,1150,9500000,16.06680246
5871531,Moratuwa,Colombo,6,4,14.5,3500,55000000,17.82284376
5868667,Wattala,Gampaha,3,2,11.5,2000,17500000,16.6777115
5839414,Kiribathgoda,Gampaha,4,2,12,2300,34000000,17.34187111
5804909,Kurunegala,Kurunegala,4,2,15,3500,39900000,17.50188691
5832171,Moratuwa,Colombo,4,4,10,3500,60000000,17.90985514
5668377,Habaraduwa,Galle,3,2,98,900,63030000,17.95912138
5680967,Midigama,Gampaha,4,3,35,1200,25790000,17.06549742
5681037,Ahangama,Galle,3,1,32,1200,44700000,17.61548408
5695823,Ahangama,Galle,3,1,97,1200,65750000,18.00137024
5713126,Ahangama,Galle,3,1,111,900,55760000,17.83656734
5870850,Nawala,Colombo,7,6,17,3000,165000000,18.92145604
5871052,Colombo 5,Colombo,7,6,17,3500,165000000,18.92145604
5847338,Nawala,Colombo,5,5,17,3000,190000000,19.06253464
5847764,Rajagiriya,Colombo,4,2,14.4,3500,55000000,17.82284376
5847765,Avissawella,Badulla,3,2,101,1950,55000000,17.82284376
5689016,Gampaha,Gampaha,3,3,350,2500,56000000,17.84086227
5719901,Colombo 15,Colombo,4,2,3.3,898.425,28500000,17.16541468
5722727,Athurugiriya,Colombo,3,2,20,1550,27000000,17.11134746
5761019,Rathmalana,Colombo,5,3,20,2800,49500000,17.71748325
5538936,Boralesgamuwa,Colombo,6,3,15,2974,43000000,17.5767107
5659309,Rajagiriya,Colombo,4,3,18.13,3300,63000000,17.9586453
5829116,Pannipitiya,Colombo,4,3,4,3000,75500000,18.13964323
5817654,Minuwangoda,Colombo,3,3,20,2200,13000000,16.38045999
5801049,Malabe,Colombo,4,3,51,841,65000000,17.98989784
5814659,Colombo 7,Colombo,5,5,8.5,3767,230000000,19.25358987
5840174,Boralesgamuwa,Colombo,3,3,18,1500,36500000,17.41282285
5815453,Colombo 8,Colombo,4,4,15.4,4193,155000000,18.85893568
5817287,Colombo 7,Colombo,5,5,10,3767,230000000,19.25358987
5818761,Ja Ela,Gampaha,4,3,47,1900,89000000,18.30414694
5819458,Nawala,Colombo,5,5,8.1,3000,130000000,18.68304502
5715585,Battaramulla,Colombo,3,2,7,2000,23630000,16.97802769
5757081,Mirihana,Colombo,3,2,23.7,2800,59250000,17.89727635
5768385,Moratuwa,Colombo,7,5,14.35,2300,35000000,17.37085865
5793543,Nugegoda,Colombo,4,3,14.5,2800,80000000,18.19753721
5443670,Rajagiriya,Colombo,4,4,13.75,3800,135000000,18.72078534
5846672,Battaramulla,Colombo,4,3,1,2000,25000000,17.03438642
5856342,Boralesgamuwa,Colombo,6,3,15,2793.75,42500000,17.56501466
5858583,Pita Kotte,Colombo,3,3,10,2300,59500000,17.90148689
5871530,Delgoda,Gampaha,3,1,17,1400,10500000,16.16688591
5867424,Nawala,Colombo,4,4,10,3000,190000000,19.06253464
5867420,Pelawatte,Colombo,5,4,10.7,3750,58000000,17.87595359
5867048,Kadawatha,Gampaha,4,4,25,2500,70000000,18.06400581
5867038,Malabe,Colombo,6,3,9,4500,65000000,17.98989784
5870334,Malabe,Colombo,3,2,6,1235,27000000,17.11134746
5870330,Malabe,Colombo,4,3,7,3500,49500000,17.71748325
5856099,Malabe,Colombo,3,3,7.2,2250,43000000,17.5767107
5870329,Athurugiriya,Colombo,3,2,7,2100,34500000,17.35646991
5866450,Athurugiriya,Colombo,3,3,6.75,2200,35000000,17.37085865
5870322,Athurugiriya,Colombo,4,3,6,2850,49500000,17.71748325
5870323,Athurugiriya,Colombo,3,2,10,1500,27500000,17.1296966
5870324,Athurugiriya,Colombo,3,2,7,1290,24000000,16.99356443
5870325,Athurugiriya,Colombo,4,3,11.6,4000,55000000,17.82284376
5870326,Athurugiriya,Colombo,3,3,6,1230,23000000,16.95100482
5870327,Athurugiriya,Colombo,4,3,6,2200,32000000,17.28124649
5722200,Rajagiriya,Colombo,5,5,12,3500,34650000,17.36080831
5814108,Mattegoda,Colombo,4,3,7.5,3500,49500000,17.71748325
5868538,Athurugiriya,Colombo,4,4,10,2000,34000000,17.34187111
5871524,Battaramulla,Colombo,5,4,37,3000,400000000,19.80697511
5867279,Athurugiriya,Colombo,4,4,72,3000,250000000,19.33697148
5858041,Colombo 7,Colombo,3,3,1,4800,260000000,19.37619219
5863407,Athurugiriya,Colombo,4,3,6,3150,47900000,17.68462608
5863217,Dehiwala,Colombo,3,3,1,1500,39500000,17.49181126
5863230,Battaramulla,Colombo,5,3,10.5,2800,54000000,17.80449462
5863666,Pelawatte,Colombo,4,3,8.5,2900,60000000,17.90985514
5866316,Malabe,Colombo,4,4,12,3500,43000000,17.5767107
5867220,Colombo 7,Colombo,3,4,7.4,4800,235000000,19.27509608
5868693,Angoda,Colombo,5,4,29.5,4800,165000000,18.92145604
5869931,Thalawathugoda,Colombo,5,3,18,3700,115000000,18.5604427
5718685,Rajagiriya,Colombo,5,5,30,450,44500000,17.61099977
5424007,Nawala,Colombo,5,4,9.5,3400,66500000,18.01271252
5692310,Mount Lavinia,Colombo,4,2,10.464,3000,50000000,17.72753358
5818064,Dodangoda,Colombo,4,2,66,2700,16500000,16.618871
5831652,Malabe,Colombo,5,3,7.5,2700,52000000,17.7667543
5825854,Negombo,Gampaha,3,3,6.5,2250,28500000,17.16541468
5863836,Negombo,Gampaha,3,2,10,1550,27000000,17.11134746
5724731,Negombo,Gampaha,5,2,10,2500,35500000,17.38504328
5870883,Athurugiriya,Colombo,3,2,8,2000,25000000,17.03438642
5863348,Katunayake,Gampaha,4,2,14,2575,85000000,18.25816183
5869638,Colombo 6,Colombo,5,4,1,3000,139000000,18.7499845
5721266,Boralesgamuwa,Colombo,2,2,7,1000,14630000,16.49858484
5568357,Battaramulla,Colombo,3,3,6,2000,59500000,17.90148689
5670864,Thalawathugoda,Colombo,4,4,18.8,3100,62000000,17.94264496
5863316,Battaramulla,Colombo,4,4,14.2,2500,50000000,17.72753358
5851105,Malabe,Colombo,4,4,12,3300,55000000,17.82284376
5718651,Malabe,Colombo,5,5,10,3500,34650000,17.36080831
5719532,Piliyandala,Colombo,4,2,7,2000,19800000,16.80119255
5682892,Maharagama,Colombo,6,4,18,3248,47000000,17.66565818
5714005,Nugegoda,Colombo,6,4,14.75,3000,130000000,18.68304502
5781178,Nugegoda,Colombo,5,2,17.5,3300,136000000,18.72816545
5871410,Pita Kotte,Colombo,4,6,30,3000,160000000,18.89068438
5830919,Pita Kotte,Colombo,3,2,7.2,1500,40000000,17.50439004
5810211,Hokandara,Colombo,4,3,8.3,2900,68500000,18.04234432
5793235,Pita Kotte,Colombo,4,2,6,1600,60000000,17.90985514
5748451,Colombo 5,Colombo,4,9,1,4000,300000000,19.51929304
5785647,Thalawathugoda,Colombo,5,4,21.28,3000,135000000,18.72078534
5813177,Boralesgamuwa,Colombo,7,3,8.2,3000,95000000,18.36938746
5814142,Colombo 4,Colombo,4,4,16.95,3000,400000000,19.80697511
5835351,Pita Kotte,Colombo,4,3,8,2834,49900000,17.72553158
5644545,Battaramulla,Colombo,4,3,8.88,2300,80000000,18.19753721
5720627,Thalawathugoda,Colombo,4,4,7,2400,24760000,17.02474005
5745401,Battaramulla,Colombo,4,3,11,4800,90000000,18.31532024
5829803,Nawala,Colombo,8,5,6,3300,72000000,18.09217669
5820195,Ethul Kotte,Colombo,5,5,18.2,3000,130000000,18.68304502
5845231,Rajagiriya,Colombo,4,4,10,4280,92000000,18.33729915
5838642,Rajagiriya,Colombo,4,4,17.8,3000,265000000,19.39524039
5852834,Thalawathugoda,Colombo,5,3,12,3000,31000000,17.24949779
5870148,Pelawatte,Other,4,4,73,2600,250000000,19.33697148
5817283,Pita Kotte,Colombo,3,4,1,2300,60000000,17.90985514
5825375,Hokandara,Colombo,4,2,10.8,2615,27500000,17.1296966
5824591,Nugegoda,Colombo,4,2,8,2000,60000000,17.90985514
5825445,Boralesgamuwa,Colombo,1,1,7.5,1000,34000000,17.34187111
5824568,Battaramulla,Colombo,4,3,12.5,3800,87000000,18.28141869
5699720,Mount Lavinia,Colombo,4,3,9.75,3200,115000000,18.5604427
5688951,Hokandara,Colombo,4,3,60,3400,140000000,18.75715299
5868152,Thalawathugoda,Colombo,5,6,7,2782,95000000,18.36938746
5709062,Rajagiriya,Colombo,3,3,6,2800,44000000,17.59970021
5718117,Nugegoda,Colombo,3,2,7,200,23630000,16.97802769
5718124,Gampaha,Gampaha,4,4,10,3150,31190000,17.25560812
5718356,Dehiwala,Colombo,4,4,7,315,31190000,17.25560812
5802733,Galle,Galle,5,4,3,4500,150000000,18.82614586
5871305,Colombo 6,Colombo,3,2,11,4500,95000000,18.36938746
5871304,Rajagiriya,Colombo,4,4,10,4700,85000000,18.25816183
5871303,Rattanapitiya,Other,5,3,6.75,2765,57000000,17.85856184
5871302,Rajagiriya,Colombo,4,3,6,3870,130000000,18.68304502
5870923,Battaramulla,Colombo,3,3,14,3500,98000000,18.40047805
5871293,Dehiwala,Colombo,5,5,32,3000,180000000,19.00846741
5811250,Rajagiriya,Colombo,4,4,14,3200,84000000,18.24632737
5823520,Rajagiriya,Colombo,4,4,14,3200,84000000,18.24632737
5871289,Mount Lavinia,Colombo,4,4,10.1,3720,87000000,18.28141869
5869926,Habaraduwa,Galle,4,2,12,1300,14500000,16.48965928
5833384,Colombo 7,Colombo,5,3,25,3500,450000000,19.92475814
5871287,Nugegoda,Colombo,8,6,26,3000,200000000,19.11382793
5711343,Boralesgamuwa,Colombo,3,2,7,2000,23630000,16.97802769
5863559,Dehiwala,Colombo,6,6,7.5,2000,155000000,18.85893568
5871285,Battaramulla,Colombo,6,3,1,3000,39000000,17.47907223
5871284,Piliyandala,Colombo,4,3,1,3000,25000000,17.03438642
5871279,Horana,Kalutara,5,2,1,2300,56000000,17.84086227
5871277,Horana,Kalutara,6,2,1,2300,46000000,17.64415198
5871275,Thalawathugoda,Colombo,4,3,8,3500,78000000,18.1722194
5871273,Colombo 7,Colombo,4,3,1,3000,325000000,19.59933574
5871272,Nugegoda,Colombo,6,3,30,2766,165000000,18.92145604
5871271,Malabe,Colombo,5,3,1,3000,79000000,18.18495842
5871270,Athurugiriya,Colombo,4,3,1,3000,46500000,17.65496289
5871269,Thalawathugoda,Colombo,3,3,8,3000,59000000,17.89304802
5871267,Rajagiriya,Colombo,4,4,10,4280,85000000,18.25816183
5871266,Thalawathugoda,Colombo,4,3,1,3000,125000000,18.6438243
5871265,Colombo 5,Colombo,5,3,1,3000,85000000,18.25816183
5824023,Jayanthipura,Other,4,3,22.2,4000,115440000,18.56426148
5870904,Ethul Kotte,Colombo,4,3,1,2176,79000000,18.18495842
5870916,Pita Kotte,Colombo,5,3,1,3800,75000000,18.13299868
5870926,Pita Kotte,Colombo,5,3,1,3700,99000000,18.41063042
5853621,Malabe,Colombo,4,2,6,2000,30000000,17.21670797
5826522,Nawala,Colombo,7,5,6,3540,72000000,18.09217669
5868659,Nawala,Colombo,5,3,20,2950,170000000,18.951309
5868666,Nawala,Colombo,6,6,12,3000,150000000,18.82614586
5871174,Nugegoda,Colombo,5,3,15.2,3400,140000000,18.75715299
5871256,Piliyandala,Colombo,3,3,1,3000,32000000,17.28124649
5871254,Nugegoda,Colombo,5,4,11.8,4100,170000000,18.951309
5871253,Ragama,Gampaha,5,3,1,2500,130000000,18.68304502
5721735,Rathmalana,Colombo,4,4,7,2000,19800000,16.80119255
5737707,Battaramulla,Colombo,4,4,14.4,2966,95000000,18.36938746
5871247,Mount Lavinia,Colombo,4,3,28,3000,95370000,18.37327463
5871246,Colombo 6,Colombo,2,2,12,1500,75000000,18.13299868
5866274,Maharagama,Colombo,4,4,9,3500,75000000,18.13299868
5871233,Boralesgamuwa,Colombo,4,3,1,3000,55500000,17.8318936
5871228,Piliyandala,Colombo,3,3,1,3000,34000000,17.34187111
5871226,Malabe,Colombo,4,3,1,3000,45000000,17.62217307
5871224,Rajagiriya,Colombo,5,3,1,3000,150000000,18.82614586
5871217,Jambugasmulla,Colombo,4,3,1,3000,60000000,17.90985514
5867634,Maharagama,Colombo,4,3,15.5,4200,82500000,18.22830886
5833594,Pita Kotte,Colombo,4,3,8.5,2300,65000000,17.98989784
5800758,Angoda,Colombo,4,2,13.99,2730,38000000,17.45309674
5720279,Nawala,Colombo,5,5,10,350,34650000,17.36080831
5721255,Kottawa,Colombo,4,4,7,3150,31190000,17.25560812
5871207,Nugegoda,Colombo,6,3,12.5,4500,100000000,18.42068075
5871206,Nugegoda,Colombo,5,4,15,3000,90000000,18.31532024
5862656,Negombo,Gampaha,3,3,8.25,2510,55000000,17.82284376
5871198,Nugegoda,Colombo,3,3,18.2,2000,86000000,18.26985787
5871189,nugegoda,Colombo,8,6,26,3000,200000000,19.11382793
5864542,Malabe,Colombo,4,3,7.2,2300,46500000,17.65496289
5868188,Nugegoda,Colombo,5,6,3.8,3000,82500000,18.22830886
5868205,Nugegoda,Colombo,5,4,11.5,3000,79000000,18.18495842
5871185,Nugegoda,Colombo,4,3,10,3300,59500000,17.90148689
5871176,Nugegoda,Colombo,4,4,15,3000,99000000,18.41063042
5867565,Colombo 5,Colombo,3,3,12,4000,150000000,18.82614586
5859694,Colombo 3,Colombo,3,3,28,3000,22000000,16.90655306
5749272,Rajagiriya,Colombo,4,4,10,4300,90000000,18.31532024
5871150,Pelawatte,Other,5,5,30,2600,250000000,19.33697148
5871146,Battaramulla,Colombo,3,3,6.5,1550,38000000,17.45309674
5871141,Battaramulla,Colombo,4,3,7,3000,69500000,18.05683732
5763351,Ahangama,Galle,3,2,11.75,900,44970000,17.62150618
5674572,Midigama,Gampaha,4,1,234,1200,45100000,17.62439283
5846294,Kathaluwa,Other,4,1,249,1200,41800000,17.54840692
5846544,Kathaluwa,Other,4,1,65,1200,58720000,17.88829096
5546375,Colombo 5,Colombo,4,4,27,3500,430000000,19.87929577
5750110,Battaramulla,Colombo,7,8,30,3000,350000000,19.67344372
5750114,Battaramulla,Colombo,5,4,27,3000,155000000,18.85893568
